Rank,Name,Position,Team,Bye,Overall,StdDev
59,Mike Williams,WR,LAC,12,56.8,5.5
60,Tarik Cohen,RB,CHI,6,58.9,6.2
61,D.J. Moore,WR,CAR,7,59.7,6.4
62,Tyler Boyd,WR,CIN,9,61,6.2
63,Evan Engram,TE,NYG,11,61.2,5.5
64,Jarvis Landry,WR,CLE,7,61.4,7.1
65,Lamar Miller,RB,HOU,10,63,6
66,Tevin Coleman,RB,SF,4,63.8,6.4
67,Hunter Henry,TE,LAC,12,64.6,6.2
68,Alshon Jeffery,WR,PHI,10,66.9,6.3
69,Baker Mayfield,QB,CLE,7,68.4,8.8
70,Rashaad Penny,RB,SEA,11,69.4,7.1
71,Dante Pettis,WR,SF,4,70.3,6.5
72,Robby Anderson,WR,NYJ,4,71,6.5
73,Derrius Guice,RB,WAS,10,71.7,8.1
74,Allen Robinson,WR,CHI,6,72.8,6.8
75,Darrell Henderson,RB,LAR,9,72.9,9.2
76,Eric Ebron,TE,IND,6,74.3,9.2
77,Christian Kirk,WR,ARI,12,76.1,6.3
